myGroup, classification, test, testAlsoKnownAs, symbol, parameters, testMethod, alt1, alt2, alt3, sampleType, fieldSampleMass,  specimenType, specimenMass, specimenNumbers, specimenD, specimenL, specimenW, specimenH, specimenMaxGrainSize, specimenMaxGrainFraction, databaseBelongsTo, imagePath,testDescription
Undrained shear strength,K72,Lab vane,NULL,LV,undrained shear strength sensitivity,BS 1377-2:2022,NULL,NULL,NULL,Intact,4,Intact reconstituted remoulded,2,1,70 100,NULL,NULL,1.0D,H/10,NULL,database,NULL,“A four-blade vane (Fig. 1) made of two perpendicular blades   with a 2-to-1 height-to-width ratio   is pushed perpendicularly into the specimen that is intact at natural water content (saturated   normally consolidated and inorganic   soft to medium stiff)   or remoulded (soft to medium soft)   or reconstituted (e.g. WC = (1.5 – 2) x LL\nThe vane is inserted in the specimen to a minimum depth equal to twice the height of the vane blade to ensure that the top of the vane blade is embedded at least one vane blade height below the sample surface. The vane is rotated at constant rate of 60 to 90°/min (torque spring) or 20 to 30°/min (torque transducer) to determine the torque required to cause a cylindrical surface to be sheared by the vane. This torque is then converted to a unit shearing resistance of the cylindrical surface area. The torque is measured by a calibrated torque spring or torque transducer that is attached directly to the vane\nTo determine the remoulded vane strength   rotate the vane rapidly through a minimum of five to ten revolutions and determine the remoulded strength immediately after completion of the rapid rotation and within 1 min after the remoulding process\nThe width of the blades varies from 12 to 25 mm   and the larger vanes are used in soft soils. An electrical torque transducer will produce a strain-controlled failure of the soil   whereas a calibrated torque spring will produce failure that varies somewhere between purely stress-controlled and strain-controlled conditions\nThe test provides in addition a measure of sensitivity and remoulded shear strength and it can be performed on extruded specimens or in specimen inside the sampling tube\nThe laboratory vane test is fast   simple   economical   but limited to obtaining the undrained shear strength of soft to firm fine-grained soils   either in the sampling containers or extruded. It can be performed in coarse-grained soils   but no useful result can be obtained because these soils drain fast enough that one would not measure the undrained shear strength   but the drained or partially drained shear strength”
Undrained shear strength,K75,Fall cone,NULL,FC,undrained shear strength sensitivity,BS EN ISO 17892-6:2017,NULL,NULL,NULL,Intact,2,Intact reconstituted remoulded,0.1-0.5,1,50,NULL,NULL,(0.5-1.0)D,H/10,NULL,database,NULL,"The penetration of a fall cone (10 g/60°   60 g/60°   80 g/30°   100 g/30° and 400 g/30°)   as in the cone penetrometer method of the liquid limit test   is determined within 2 s of the cone release. The penetration is inversely proportional to the soil shear strength. Heavier cones are used for soils of greater shear strength\nTest can be performed on extruded samples or in sampling tube on intact material. This can be supplemented with a test on remoulded material to establish the sensitivity   i.e. the ratio between intact and remoulded strength data\nThe fall cone test is carried out on remoulded or undisturbed samples of soil. When testing undisturbed soils, the results may be affected by soil anisotropy"
Undrained shear strength,NULL,Thixotropy (fall cone test),NULL,Thx,water content undrained shear strength sensitivity,EN ISO 19901-8,NULL,NULL,NULL,Intact,2,Intact remoulded,0.1-0.5,2,50,NULL,NULL,(0.5-1.0)D,H/10,NULL,database,NULL,"Split the intact sample into two sub-samples and remould one of the two \nRemoulding should be carried out by hand   using a glass plate or a cup and spatula   taking care to avoid air bubbles being mixed into the sample. Changes to the water content of the specimen being remoulded shall be minimized. Remould for 10 min or until the consistency of the sample ceases to change\nUndrained shear strength tests   either by using a fall cone or lab vane should be conducted at 0 h (initial reading)   1 h   2 h   4 h   8 h   1 d   2 d   4 d   8 d   15 d   30 d   and 60 d. The water content should also be measured at each time interval. The specimens should be covered and stored under controlled temperature and,humidity conditions\nThixotropy can be described as the process of softening owing to remoulding or disturbance. It is an isothermal   reversible   time-dependent process occurring under conditions of constant composition and volume   whereby a material stiffens while at rest and softens or liquefies upon remoulding (Mitchell 1960). Except coarse clean sands and gravel   all sediments are thixotropic"
Undrained shear strength,K88,Unconfined compression,NULL,UC,undrained shear strength,BS EN ISO 17892-7,NULL,NULL,NULL,Intact or disturbed,5-35,Intact reconstituted remoulded,0.5-5,1,38 50 70 100,NULL,NULL,(1.8-2.5)D,D/6,NULL,database,NULL,NULL
Undrained shear strength,"K89,90",Unconsolidated undrained triaxial compression,NULL,UU,undrained shear strength sensitivity,BS EN ISO 17892-8,NULL,NULL,NULL,Intact or disturbed,5-35,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,public/testImages/Direct-shear-devices.JPG,“A cylindrical intact   remoulded   or reconstituted specimen is compressed under strain-controlled conditions of the axial load   i.e. axial strain rate of 0.3-2.0% axial strain/min at constant cell pressure\nCompression is terminated at 15% axial strain   even if the specimen has failed earlier   e.g. drop in maximum axial load (Fig. 1). The following failure criteria may be applied: maximum deviator stress   or 15% strain\nFor one specimen   test at 1.0 x σ′vo; for three specimens   test at 0.5 x σ′vo   1.0 x σ′vo and 2.0 x σ′vo\nSample must be nearly saturated; specimen disturbance and the shearing rate will affect the measured strength”
Undrained shear strength,K107,Consolidated undrained direct simple shear,NULL,DSS,undrained shear strength shear modulus,ASTM D6528-17,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,63.5,NULL,NULL,0.4D,H/10,NULL,database,public/testImages/Direct-shear-devices.JPG,“After one-dimensional consolidation   typically at 1.0 x σ′vo   a laterally confined and vertically loaded specimen is sheared at constant rate of displacement (Fig. 1)   under conditions of constant volume to simulate undrained conditions   and the resulting shear strain and shear strain are measured (Fig. 2)\nCylindrical specimens are enclosed in a wire-reinforced membrane or a soft membrane within a stack of rigid rings. The constant-volume condition is equivalent to the undrained condition for saturated specimens\nSimple shear stress conditions occur below long embankments and around axially loaded piles”
Drained shear strength,K77,Consolidated drained direct shear (small shearbox) under constant normal load (CNL) or constant normal stiffness (CNS),NULL,sDS,drained shear strength apparent cohesion angle of friction,BS EN IOS 17892-10,NULL,NULL,NULL,Intact or disturbed,2-4,Intact reconstituted remoulded,0.6 1.2,3,NULL,60 100,60 100,20,H/6,NULL,database,public/testImages/Direct-shear-devices.JPG,NULL
Drained shear strength,K79,Peak & residual shear stength by multiple reversals in a small shearbox,NULL,sPR,peak & residual drained shear strength apparent cohesion angle of friction,NULL,NULL,NULL,NULL,Intact or disturbed,2-4,Intact reconstituted remoulded,0.6 1.2,3,NULL,60 100,60 100,20,H/6,NULL,database,public/testImages/Direct-shear-devices.JPG,“After one-dimensional consolidation  a laterally confined and vertically loaded specimen is sheared at constant rate of displacement in a small or large direct shear apparatus\nThree specimens are typically tested at normal stress conditions of 0.5 x σ′vo  1.0 x σ′vo and 2.0 x σ′vo to estimate the peak cohesion and angle of friction. The residual cohesion and angle of friction can be obtained by extending the tests to give large cumulative displacements by reversals and re-shearing until good repeatability of residual shear values is achieved \nFast test on sand & silts but slow on clays”
Drained shear strength,K82,Consolidated drained direct shear (large shearbox),NULL,LDS,drained shear strength apparent cohesion angle of friction,NULL,NULL,NULL,NULL,Disturbed,120,Reconstituted remoulded,35,3,NULL,300,300,150,20,NULL,database,public/testImages/Large-shear-box-apparatus.JPG,“After one-dimensional consolidation  a laterally confined and vertically loaded specimen is sheared at constant rate of displacement in a small or large direct shear apparatus\nThree specimens are typically tested at normal stress conditions of 0.5 x σ′vo  1.0 x σ′vo and 2.0 x σ′vo to estimate the peak cohesion and angle of friction. The residual cohesion and angle of friction can be obtained by extending the tests to give large cumulative displacements by reversals and re-shearing until good repeatability of residual shear values is achieved \nFast test on sand & silts but slow on clays”
Drained shear strength,K82,Peak & residual shear stength by multiple reversals in a large shearbox,NULL,LPR,peak & residual drained shear strength apparent cohesion angle of friction,NULL,NULL,NULL,NULL,Disturbed,120,Reconstituted remoulded,35,3,NULL,300,300,150,20,NULL,database,public/testImages/Large-shear-box-apparatus.JPG,NULL
Drained shear strength,K84,Interface shearbox test (Direct shear),NULL,ISB,interface drained shear strength cohesion angle of friction,NULL,NULL,NULL,NULL,Disturbed,2.5,Intact reconstituted remoulded,0.6,3,NULL,60,60,20,H/6,NULL,database,public/testImages/Direct-shear-devices.JPG,NULL
Drained shear strength,K86,Residual shear strength using the ring shear apparatus,NULL,RS,residual drained shear strength apparent cohesion angle of friction,NULL,NULL,NULL,NULL,Disturbed,2.5,Reconstituted remoulded,0.6,3,outer 100 inner 70,NULL,NULL,5,H/6,NULL,database,public/testImages/Ring-shear-devices.JPG,"The interface ring shear test is used to determine the shear strength of the interface between soil and polymer or steel, with centre-line surface roughness Rcla typically equal to 10 μm.\nAfter one-dimensional consolidation, a laterally confined and vertically loaded reconstituted or remoulded specimen is sheared at constant rate of angular displacement in a Bromhead apparatus, with a 5 mm high annulus and a 70 mm inner diameter and 100 mm outer diameter. Shearing is imposed by rotating the ring shear base relative to the circular top cap. In the ring shear apparatus shearing forces are purely rotational.\nThree specimens are typically tested at vertical effective stress conditions of 0.5σ′vo, 1.0σ′vo and 2.0σ′vo, where σ’vo is the in situ vertical effective stress, to estimate the residual drained shear strength, apparent cohesion and angle of friction. After reaching the maximum shear load, the rate of angular displacement can be increased up to tenfold and then reduced to the maximum allowable rate of angular displacement. Shearing continues until no further decrease in shear resistance is measured."
Drained shear strength,K86,Interface ring shear test,NULL,IRS,interface residual drained shear strength cohesion angle of friction,NULL,NULL,NULL,NULL,Disturbed,2.5,Reconstituted remoulded,0.6,3,outer 100 inner 70,NULL,NULL,5,H/6,NULL,database,public/testImages/Ring-shear-devices.JPG,NULL
Drained shear strength,NULL,ICP ring shear test,NULL,ICP,interface residual drained shear strength,NULL,NULL,NULL,NULL,Disturbed,1,Reconstituted remoulded,0.2,1,outer 100 inner 70,NULL,NULL,5,H/6,NULL,database,NULL,"The ICP ring shear test is carried out in a Bromhead apparatus with an annular steel interface having a centre-line roughness Rcla of 10 μm. A reconstituted or remoulded specimen, with all grains greater than 0.425 mm removed, is firstly consolidated at least at 50 kPa, and then sheared in two stages.\nThe first shear stage is fast and aims towards total displacement of 1,000 mm in 200 mm displacement steps at 500 mm/min, with 3 min pauses of zero shear stress in between steps. If significant loss of soil between the confining ring and interface is observed during this stage, the rate of fast shearing should be reduced. \nAt the end of the first shear stage, the excess pore pressures is allowed to fully dissipate and then the specimen is reconsolidated. \nThe second stage of shearing is slow and drained (0.02 mm/min) until ultimate residual conditions are established. \nThe total vertical strain, from the start to end of the test, should not exceed 15%."
Triaxial shear strength in compression,K94,Consolidated isotropic undrained,NULL,CIUc,undrained shear strength apparent cohesion angle of friction Young's modulus,BS EN ISO 17892-9,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,public/testImages/Triaxial-test-frames.JPG,"A cylindrical intact   remoulded   or reconstituted specimen is placed in a triaxial cell   and it is saturated by incrementally adjusting the back or cell pressure (natural water method)   with or without side drains. Saturation is complete when a B-value ≥0.95 is achieved and sustained\nSpecimen is subsequently consolidated either firstly under equal σ’v and σ’h stress conditions and then non-equal σ’v and σ’h stress conditions or directly under non-equal σ’v and σ’h stress conditions with drainage allowed. For consolidation under K0-consolidation conditions   no deformation is allowed in the radial direction of the specimen   i.e. practically no more than ±0.05%\nConsolidation is considered complete when ΔV is less than 0.1% of the pre-consolidation specimen volume per hour   or 95% of the excess pore pressure has dissipated   or after one log cycle of time or one overnight period after reaching 100% primary consolidation (ΔV vs logt or 3t method   Fig. 1)\nPorewater pressure can be measured at the ends or at the mid-plane of the specimen\nCompress under constant cell pressure and constant deformation rate   e.g. 0.1% axial strain/min for silty soils and about 0.05% axial strain/min for clayey soils   with no drainage allowed\nOn-specimen transducers can be used to measure the axial and radial strain\’\nCompression is terminated at 15% axial strain   even if the specimen has failed earlier   e.g. drop in maximum axial load (Fig. 2). The following failure criteria may be applied: maximum deviator stress   maximum σ’1/σ’3 ratio   15% strain\nTo determine the undrained shear strength or angle of friction   one specimen tested at 1.0 x σ′vo is sufficient   whereas three specimens tested at 0.5 x σ′vo   1.0 x σ′vo and 2.0 x σ′vo are needed to determine the apparent cohesion and angle of friction\nUseful test to assess effective stress strength parameters (Fi)”"
Triaxial shear strength in compression,K97,K0-consolidated undrained,NULL,CK0Uc,undrained shear strength apparent cohesion angle of friction Young's modulus,BS EN ISO 17892-9,JGS 0525-2020,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,NULL,NULL
Triaxial shear strength in compression,K98,Consolidated isotropic drained,NULL,CIDc,drained shear strength apparent cohesion angle of friction,NULL,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,NULL,NULL
Triaxial shear strength in compression,K96,Consolidated anisotropic undrained,NULL,CAUc,undrained shear strength apparent cohesion angle of friction Young's modulus,NULL,NULL,NULL,NULL,Intact or disturbed,12,"Intact, reconstituted, remoulded",0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,NULL,NULL
Triaxial shear strength in compression,K101,Consolidated anisotropic drained,NULL,CADc,drained shear strength apparent cohesion angle of friction,NULL,NULL,NULL,NULL,Intact or disturbed,12,"Intact, reconstituted, remoulded",0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,NULL,NULL
Triaxial shear strength in extension,K93,Consolidated isotropic undrained,NULL,CIUe,undrained shear strength apparent cohesion angle of friction Young's modulus,NULL,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,NULL,"A cylindrical intact   remoulded   or reconstituted specimen is placed in a triaxial cell   and it is saturated by incrementally adjusting the back or cell pressure (natural water method)   with or without side drains. Saturation is complete when a B-value ≥ 0.95 is achieved and sustained\nThe specimen is   then   consolidated under equal σ’v and σ’h stress conditions   with drainage allowed. Consolidation is considered complete when ΔV is less than 0.1% of the pre-consolidation specimen volume per hour   or 95% of the excess pore pressure has dissipated   or after one log cycle of time or one overnight period after reaching 100% primary consolidation (ΔV vs logt or 3t method   Fig. 1)\nPorewater pressure can be measured at the ends or at the mid-plane of the specimen\nCompress under constant cell pressure and constant compression rate   e.g. 0.1% axial strain/min for silty soils and about 0.05% axial strain/min for clayey soils   with no drainage allowed\nOn-specimen transducers can be used to measure the axial and radial strain\nTerminate the compression stage at 15% axial strain   even if the specimen has failed earlier   e.g. drop in maximum axial load (Fig. 2). The following failure criteria may be applied: maximum deviator stress   maximum σ’1/σ’3 ratio   15% strain\nTo determine the undrained shear strength or angle of friction   one specimen tested at 1.0 x σ′vo is sufficient   whereas three specimens tested at 0.5 x σ′vo   1.0 x σ′vo and 2.0 x σ′vo are needed to determine the apparent cohesion and angle of frictionUseful test to assess effective stress strength parameters but not recommended for measuring deformation properties "
Triaxial shear strength in extension,NULL,K0-consolidated undrained,NULL,CK0Ue,"undrained shear strength apparent cohesion angle of friction,Young's modulus",BS EN ISO 17892-9,JGS 0526-2020,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,NULL,NULL
Triaxial shear strength in extension,K98,Consolidated isotropic drained ,NULL,CIDe,drained shear strength apparent cohesion angle of friction,NULL,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,NULL,“A cylindrical intact   remoulded   or reconstituted specimen is placed in a triaxial cell   and it is saturated by incrementally adjusting the back or cell pressure (natural water method)   with or without side drains. Saturation is complete when a B-value ≥ 0.95 is achieved and sustained\nThe specimen is   then   consolidated under equal σ’v and σ’h stress conditions   with drainage allowed. Consolidation is considered complete when ΔV is less than 0.1% of the pre-consolidation specimen volume per hour   or 95% of the excess pore pressure has dissipated   or after one log cycle of time or one overnight period after reaching 100% primary consolidation (ΔV vs logt or 3t method   Fig. 1)\nPorewater pressure can be measured at the ends or at the mid-plane of the specimen\nCompress under constant cell pressure and constant compression rate   e.g. 0.1% axial strain/min for silty soils and about 0.05% axial strain/min for clayey soils   with no drainage allowed\nOn-specimen transducers can be used to measure the axial and radial strain\nTerminate the compression stage at 15% axial strain   even if the specimen has failed earlier   e.g. drop in maximum axial load (Fig. 2). The following failure criteria may be applied: maximum deviator stress   maximum σ’1/σ’3 ratio   15% strain\nTo determine the undrained shear strength or angle of friction   one specimen tested at 1.0 x σ′vo is sufficient   whereas three specimens tested at 0.5 x σ′vo   1.0 x σ′vo and 2.0 x σ′vo are needed to determine the apparent cohesion and angle of friction\nUseful test to assess effective stress strength parameters but not recommended for measuring deformation properties “
Triaxial shear strength in extension,K96,Consolidated anisotropic undrained,NULL,CAUe,undrained shear strength apparent cohesion angle of friction Young's modulus,NULL,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,NULL,NULL
Triaxial shear strength in extension,K101,Consolidated anisotropic drained,NULL,CADe,drained shear strength apparent cohesion angle of friction,NULL,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,0.2 or 0.8 0.5 or 1.5 1 or 3 3 or 9,1 or 3,38 50 70 100,NULL,NULL,2.0D,D/6,NULL,database,NULL,NULL
Permeability ,K56,Falling head in an oedometer,NULL,k_oed,permeability coefficient,BS EN ISO 17892-11,NULL,NULL,NULL,NULL,1,NULL,0.2,1,50,NULL,NULL,20,H/6,NULL,database,NULL,"The permeability test in the oedometer cell is used to determine the coefficient of permeability kn by direct measurements under variable hydraulic loading during a one-dimensional incremental loading consolidation test (Fig. 1 & 2). The test is suitable for silts and clays  with permeability greater than 10-6 to 10-7 m/sWater of a similar chemistry to the pore water should be used; however, if the chemistry of the pore water is unknown, then, de-aired tap water should be used. The degree of saturation is critical to the measured permeability, and it should be calculated. Unless a clay specimen is known to be saturated, back pressure should be used to saturate the specimen. The temperature at which the test was performed shall be recorded.\nPrepare the specimen as in a one-dimensional incremental loading consolidation test and apply a small seating pressure of up to 3 kPa, in addition to the stress owing to the mass of the top cap and porous disc \nThe oedometer cell is complemented by the addition of a burette, whose cross-sectional area typically ranges from 0.05 to 5 cm², allowing a hydraulic head on the order of 50 cm. The burette are equipped with a millimetre scale, graduated in length rather than volume, with increments increasing from the base upwards. The burettes are positioned vertically and connected to the oedometer cell through a transparent tube and a valve, ensuring precise control of the hydraulic input. This configuration ensures accurate adjustment of the hydraulic head \nAdjust the position of the graduated burette so that the zero reading precisely coincides with the level of the drainage hole in the cell\nNext, fill the burette with water and open the connecting valve. This allows the fluid to flow down to the lower porous stone inside the oedometer cell. Ensure that the entire setup is completely saturated by eliminating air bubbles\nThe permeability test can be performed both as a standalone test and as part of an incremental consolidation test. The sequence of stresses to be applied to the specimen should be defined considering the nature of the soil and the in situ stress history. The effective stress should be adequate to prevent swelling. Permeability measurements can only be taken after primary consolidation is complete\nBegin the test by adding sufficient water to achieve a hydraulic head on the order of 50 cm. Record the ambient temperature and the water level inside the burette. Open the valve at the base of the oedometer cell and simultaneously start the stopwatch to record the time. Close the valve and stop the stopwatch until a hydraulic head on the order of 10-15 cm is reached"
Permeability ,K58,Constant head in a Rowe (hydraulic) cell,NULL,k_rowe,permeability coefficient,NULL,NULL,NULL,NULL,NULL,1,NULL,0.2,1,70,NULL,NULL,25,H/6,NULL,database,NULL,NULL
Permeability ,K65,Constant or falling head in a triaxial cell,NULL,k_tc,permeability coefficient,NULL,NULL,NULL,NULL,NULL,12,NULL,0.2 0.5 1 3,1,38 50 70 100,NULL,NULL,1.0D,H/6,NULL,database,NULL,NULL
Permeability ,K54,Falling or constant head in a permeater,NULL,k20,permeability coefficient,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Dispersibility,K68,Pinhole,NULL,phole,soil dispersibility,BS 1377-2:18.1 (2022),NULL,NULL,NULL,Disturbed,0.8,NULL,0.2,1,NULL,NULL,NULL,NULL,2,NULL,database,NULL,NULL
Dispersibility,K69,Crumb method,NULL,crumb,soil dispersibility,BS1377-2:18.2 (2022),NULL,NULL,NULL,Disturbed,2,Crumbs,0.5,1,NULL,NULL,NULL,NULL,NULL,NULL,database,NULL,NULL
Dispersibility,K70,Double hydrometer,NULL,dhydro,soil dispersibility,BS1377-2:18.3 (2022),NULL,NULL,NULL,Disturbed,0.8,NULL,0.2,2,NULL,NULL,NULL,NULL,2,NULL,database,NULL,NULL
Shear modulus & cyclic tests,K106,Bender elements,NULL,BE,shear modulus stiffness compression modulus,ASTM D8295-19,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,1 3,1,70 100,NULL,NULL,2.0D,NULL,NULL,database,public/testImages/Bender-element-reciever.jpg,“The test method covers the laboratory use of piezoceramic bender elements to determine the shear wave velocity in soil specimens. Bender element tests to determine shear wave (Vs) and compression wave (Vp) velocities in the soil may be part of the triaxial test setup. These velocities are determined from very small‐strain responses measured by bender elements.A shear wave is generated at one end of the soil specimen and then received at the opposite end (Fig. 1). Shear waves generated to determine shear wave velocity can also be polarized in different directions  e.g. vertically or horizontally propagating shear wave with either vertical or horizontal polarization (Fig. 2) \nPrior to testing  the bender elements are checked for polarity and time delay; source and received waves must have the same polarity and the time delay should be measured. Shear wave velocity determination involves very small strains and is non-destructive. Therefore  bender element shear wave velocity determinations can be made at any time and any number of times during a laboratory test\nThe transmitter and receiver are aligned when they share the same plane. Misalignment increases the possibility of contamination with other indirect waves and of receiving weak direct shear waves produced by the transmitter. Top and base caps should have marks that are clear to align the transducers properly\nCoupling between BE and soil is essential to ensure the effective transference of energy between them. The method of introducing the BE into the soil varies depending on its stiffness. The procedure chosen must satisfy: (i) good coupling  (ii) low alteration of the surrounding soil  and (iii) preservation of the integrity of the transducers. For weak soils  protrusion with pressure is acceptable. Excavation of undersized slots and protrusion is used for stiff clays. These slots should be excavated with high precision to have a minimum distance between the elements and the soil. The excavation of oversized slots and sealing is applicable for cemented sands\nThe shear wave travel time is measured over a known travel distance L  i.e. length of specimen  and the shear Vs or or compression wave velocity Vp is calculated by dividing the travel distance L by the travel time t  e.g. peak-to-peak or start-to-start (Fig. 3)\nFrom the wave velocity and the (wet) bulk density of the soil specimen the initial shear modulus (Gmax = ρ x Vs2) or compression modulus (Mmax = ρ x Vp2) are calculated”
Shear modulus & cyclic tests,K119,Resonant column-Torsional shear,NULL,RC-TS,shear modulus stiffness damping,ASTM D4015-21,NULL,NULL,NULL,Intact or disturbed,5,Intact reconstituted remoulded,1,1,70,NULL,NULL,2.0D,NULL,NULL,database,public/testImages/Resonant-Column-apparatus.JPG,“Specimen is placed in a triaxial cell  saturated and then consolidated under equal or non-equal σ’v and σ’h stress conditions  with drainage allowed. Subsequently  cyclic torsional shear is applied to the top of the specimen for a range of excitation levels and torque measurements are directly made at the bottom of the specimen\nThe test is considered non-destructive when the shear strain amplitudes of vibration are less than 0.01%; then  many measurements may be made on the same specimen. Resonant column and torsional shear testing can be followed by an undrained or drained triaxial test\nTest results depend upon the strain amplitude of vibration  the state of effective stress  and the void ratio of the soil  etc.; therefore  their applicability of the test results will depend on the degree to which the test conditions duplicate the field conditions”
Shear modulus & cyclic tests,K109,Cyclic direct simple shear,NULL,CDSS,shear modulus stiffness damping,ASTM D8296-19,NULL,NULL,NULL,Intact or disturbed,1,Intact reconstituted remoulded,0.2,1,63.5,NULL,NULL,0.4D,H/10,NULL,database,NULL,“After one-dimensional consolidation  typically at 1.0 x σ′vo  a laterally confined by a wire-reinforced membrane or a soft membrane within a stack of rigid rings and vertically loaded specimen is sheared horizontally (xy-plane) by applying load- or displacement-controlled deformation cycles\nThe soil cyclic strength is determined based on the number of cycles required to reach a limiting double- or single-amplitude shear strain\nShearing under constant volume can be performed on dry or saturated specimens; the constant-volume condition is equivalent to the undrained condition for fully saturated specimens”
Shear modulus & cyclic tests,NULL,Strain-controlled cyclic triaxial,NULL,CTXG,shear modulus stiffness damping,ASTM D3999/D3999M-11e1,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,3,1,100,NULL,NULL,2.0D,D/6,NULL,database,NULL,“Specimen is placed in a triaxial cell and it is saturated. Then  it is consolidated under equal or non-equal σ’v and σ’h stress conditions  with drainage allowed. Then  a cyclic axial deviator stress of fixed magnitude (load control) or cyclic axial deformation (stroke control) is applied to the specimen\nThe following need to be defined prior to testing 1) the load or stroke control  2) the frequency (Hz)  3) the number of cycles (nominally 1500)  4) the cyclic stress ratio (CSR = τcyc/σ'vo)  and 5) the failure criteria  i.e. number of cycles  axial strain  shear stress\nLoad  axial and radial strain  and porewater pressure are measured during saturation  consolidation  and cyclic loading; on-specimen transducers are required to measure strain axially and radially  otherwise  an assumed Poisson’s ratio value will be assumed”
Shear modulus & cyclic tests,K113,Load-controlled cyclic triaxial,NULL,CTXU,strain shear strain porewater pressure,ASTM D5311/D5311M-13,NULL,NULL,NULL,Intact or disturbed,12,Intact reconstituted remoulded,3,1,100,NULL,NULL,2.0D,D/6,NULL,database,NULL,“Specimen is placed in a triaxial cell and it is saturated. Then  it is consolidated under equal or non-equal σ’v and σ’h stress conditions  with drainage allowed. Then  a cyclic axial deviator stress of fixed magnitude (load control) is applied under undrained conditions to approximate essentially undrained field conditions during earthquake or other dynamic loading \nThe following need to be defined prior to testing 1) the load control  2) the frequency (Hz)  3) the number of cycles (nominally 1500)  4) the cyclic stress ratio (CSR = τcyc/σ'vo)  and 5) the failure criteria  i.e. number of cycles  axial strain  pore pressure ratio\nLoad  strain  and porewater pressure are measured during saturation  consolidation  and cyclic loading\nCyclic loading generally increases the porewater pressure in the specimen  decreases the effective stress and increases the axial deformation of the specimen\nFailure may be defined as when the peak excess pore water pressure equals the initial effective confining pressure  or in terms of a limiting cyclic or permanent strain”
